"","City/Town","Cases"
"1","Allendale"," 56"
"2","Alpine"," 21"
"3","Bergenfield"," 741"
"4","Bogota"," 163"
"5","Carlstadt"," 92"
"6","Cliffside Park"," 435"
"7","Closter"," 77"
"8","Cresskill"," 101"
"9","Demarest"," 45"
"10","Dumont"," 281"
"11","East Rutherford"," 125"
"12","Edgewater"," 124"
"13","Elmwood Park"," 471"
"14","Emerson"," 167"
"15","Englewood"," 710"
"16","Englewood Cliffs"," 51"
"17","Fair Lawn"," 566"
"18","Fairview"," 320"
"19","Fort Lee"," 405"
"20","Franklin Lakes"," 138"
"21","Garfield"," 689"
"22","Glen Rock"," 100"
"23","Hackensack"," 1,163"
"24","Harrington Park"," 28"
"25","Hasbrouck Heights"," 182"
"26","Haworth"," 34"
"27","Hillsdale"," 104"
"28","Ho-Ho-Kus"," 43"
"29","Leonia"," 105"
"30","Little Ferry"," 165"
"31","Lodi"," 587"
"32","Lyndhurst"," 341"
"33","Mahwah"," 239"
"34","Maywood"," 206"
"35","Midland Park"," 82"
"36","Montvale"," 66"
"37","Moonachie"," 60"
"38","New Milford"," 400"
"39","North Arlington"," 241"
"40","Northvale"," 45"
"41","Norwood"," 69"
"42","Oakland"," 207"
"43","Old Tappan"," 57"
"44","Oradell"," 156"
"45","Palisades Park"," 217"
"46","Paramus"," 849"
"47","Park Ridge"," 136"
"48","Ramsey"," 112"
"49","Ridgefield"," 176"
"50","Ridgefield Park"," 240"
"51","Ridgewood"," 272"
"52","River Edge"," 130"
"53","River Vale"," 98"
"54","Rochelle Park"," 136"
"55","Rockleigh"," 80"
"56","Rutherford"," 175"
"57","Saddle Brook"," 273"
"58","Saddle River"," 63"
"59","South Hackensack"," 51"
"60","Teaneck"," 995"
"61","Tenafly"," 150"
"62","Teterboro"," 5"
"63","Upper Saddle River"," 50"
"64","Waldwick"," 122"
"65","Wallington"," 152"
"66","Washington Township"," 92"
"67","Westwood"," 181"
"68","Woodcliff Lake"," 104"
"69","Wood-Ridge"," 125"
"70","Wyckoff"," 276"
